type,item,overall_mae,overall_r2,mae,r2
sample,242,,,6362.827436474839,-3.1071103678616137
sample,243,,,6365.163185425637,-3.1071593901571397
sample,244,,,6368.117536991001,-3.1072161178390196
sample,245,,,6365.166224955182,-3.107182950247833
sample,246,,,6420.3318832003715,-3.1141587838313
sample,247,,,6438.184588856387,-3.128375065209071
sample,248,,,6070.1727342811,-2.783540694918064
sample,249,,,5695.546049365458,-2.4490534472058063
sample,250,,,5081.5462697363655,-1.3603145255250984
sample,251,,,4840.741793401183,-0.7605029057858432
sample,252,,,4976.725069483957,-0.7208189973525274
sample,253,,,5369.450908923506,-1.1055154765995003
sample,254,,,6344.26464292466,-2.6817743920934656
sample,255,,,6602.262210286616,-2.9305416420989276
sample,256,,,6943.576750127261,-2.4134867468624996
sample,257,,,6948.094442295635,-1.8480659240372361
sample,258,,,7088.601265670269,-1.8661327665269916
sample,259,,,7158.842231478135,-1.8439708055818125
sample,260,,,7139.80758336671,-1.843651676309043
sample,261,,,7144.539949745951,-1.8436879190656392
sample,262,,,7139.886493420017,-1.8436358699130588
sample,263,,,7145.146347485878,-1.8436758673680362
sample,264,,,7158.1619349200055,-1.8438269132844458
sample,265,,,7163.697086765288,-1.8439093569732767
sample,266,,,7169.066550726951,-1.843998982658329
sample,267,,,7177.248375776344,-1.8441562380291159
sample,268,,,7177.9030255006155,-1.8441655877998842
sample,269,,,7202.7985566345915,-1.844644804464754
sample,270,,,7192.096319489482,-1.8435165691962294
sample,271,,,7060.889720741749,-1.7847533101677722
sample,272,,,6818.677109510238,-1.3934840311845598
sample,273,,,6785.373973073339,-1.2816717603798535
sample,274,,,7032.19271548947,-1.54910775387768
sample,275,,,6875.814839545174,-1.5639948064685694
sample,276,,,6349.455271534575,-1.2302684671599966
sample,277,,,5440.501530867393,-0.44146464914634276
sample,278,,,5216.258936331982,-0.23947053231942572
sample,279,,,4852.279559464561,0.07982131005475934
sample,280,,,4494.072043539113,0.1714682079202715
sample,281,,,4438.827944109082,0.10511624413799803
sample,282,,,4372.784360408515,0.1111842158930263
sample,283,,,4384.986124477608,0.10272101121875798
sample,284,,,4389.699994107238,0.10268920705254991
sample,285,,,4383.365124185272,0.10272175285664975
sample,286,,,4378.172112515739,0.10274449512707184
sample,287,,,4370.537095877148,0.10278095172239554
sample,288,,,4359.734340200439,0.10288591762290522
sample,289,,,4348.9315845237315,0.10298418554670785
sample,290,,,4331.3566541694445,0.10311724947039225
sample,291,,,4313.649371291271,0.10330499790163916
sample,292,,,4307.275548861085,0.10335882115253958
sample,293,,,4277.786057723063,0.10373266835862982
sample,294,,,4302.587662519935,0.10160548354158172
sample,295,,,4148.333952677633,0.10922510425032772
sample,296,,,4280.461230830666,-0.00028352996486336046
sample,297,,,4059.915071658617,0.10326502283056993
sample,298,,,3767.278322309792,0.24967710072338178
sample,299,,,4096.4583782335985,0.03269076991632902
sample,300,,,4504.366312709593,-0.11594580528600362
sample,301,,,4889.342965851487,0.009897264529218353
sample,302,,,4292.884228339422,0.3661728583413688
sample,303,,,4120.934761722743,0.39886072396482775
sample,304,,,4474.786006858715,0.3092064610123645
sample,305,,,4475.360417138538,0.3013590017433776
sample,306,,,4432.886827057898,0.3063513655086
sample,307,,,4403.645320057276,0.30337538463288194
sample,308,,,4398.514202049472,0.303398380150263
sample,309,,,4407.312515603094,0.3033614120285053
sample,310,,,4408.482897813535,0.3033592533763748
sample,311,,,4410.967842628975,0.30335479501450735
sample,312,,,4412.12611022854,0.3033502916407683
sample,313,,,4412.04507211297,0.3033505439649037
sample,314,,,4419.845516768525,0.30333191287308814
sample,315,,,4417.923280579248,0.3033351019580831
sample,316,,,4411.235428311411,0.3033488191116406
sample,317,,,4412.402136490838,0.30334811133401396
sample,318,,,4305.406704802393,0.30225422743046293
sample,319,,,4268.1401694437045,0.3044080330578257
sample,320,,,4047.411350121602,0.33757384431538184
sample,321,,,4347.169806029662,0.369394078147796
sample,322,,,4095.956030930829,0.40609754681827537
sample,323,,,3687.3451740965015,0.718679065741418
sample,324,,,3856.7993779807316,0.7998197191191062
sample,325,,,3432.254369884163,0.8373839159403507
sample,326,,,3381.9164612581335,0.843937105922303
sample,327,,,3238.41096890434,0.8575197547411039
sample,328,,,3174.086116853116,0.8626241180812708
sample,329,,,3279.9100555397927,0.8621397091016809
sample,330,,,3269.833736596655,0.8608667851797299
sample,331,,,3219.674400342556,0.8606578911350262
sample,332,,,3239.73971833104,0.8606068533386066
sample,333,,,3228.0169046010683,0.8606183846400841
sample,334,,,3230.0888357693425,0.8606167137478942
sample,335,,,3238.962957762363,0.8606037250599538
sample,336,,,3252.8896917951074,0.860570538883991
